station id, station name, valid,temp
_1895,LJUBLJANA - BEŽIGRAD,01/01/1992,-3.8
_1895,LJUBLJANA - BEŽIGRAD,02/01/1992,0.2
_1895,LJUBLJANA - BEŽIGRAD,03/01/1992,1.7
_1895,LJUBLJANA - BEŽIGRAD,04/01/1992,1
_1895,LJUBLJANA - BEŽIGRAD,05/01/1992,2
_1895,LJUBLJANA - BEŽIGRAD,06/01/1992,1
_1895,LJUBLJANA - BEŽIGRAD,07/01/1992,2.8
_1895,LJUBLJANA - BEŽIGRAD,08/01/1992,6.7
_1895,LJUBLJANA - BEŽIGRAD,09/01/1992,7.2
_1895,LJUBLJANA - BEŽIGRAD,10/01/1992,6.9
_1895,LJUBLJANA - BEŽIGRAD,11/01/1992,5.5
_1895,LJUBLJANA - BEŽIGRAD,12/01/1992,2
_1895,LJUBLJANA - BEŽIGRAD,13/01/1992,1.6
_1895,LJUBLJANA - BEŽIGRAD,14/01/1992,2.4
_1895,LJUBLJANA - BEŽIGRAD,15/01/1992,1.3
_1895,LJUBLJANA - BEŽIGRAD,16/01/1992,-1.9
_1895,LJUBLJANA - BEŽIGRAD,17/01/1992,-0.6
_1895,LJUBLJANA - BEŽIGRAD,18/01/1992,-2.3
_1895,LJUBLJANA - BEŽIGRAD,19/01/1992,-0.8
_1895,LJUBLJANA - BEŽIGRAD,20/01/1992,0.4
_1895,LJUBLJANA - BEŽIGRAD,21/01/1992,-4.6
_1895,LJUBLJANA - BEŽIGRAD,22/01/1992,-3.9
_1895,LJUBLJANA - BEŽIGRAD,23/01/1992,-2.2
_1895,LJUBLJANA - BEŽIGRAD,24/01/1992,0
_1895,LJUBLJANA - BEŽIGRAD,25/01/1992,0.6
_1895,LJUBLJANA - BEŽIGRAD,26/01/1992,-1.7
_1895,LJUBLJANA - BEŽIGRAD,27/01/1992,-1
_1895,LJUBLJANA - BEŽIGRAD,28/01/1992,-0.9
_1895,LJUBLJANA - BEŽIGRAD,29/01/1992,-0.7
_1895,LJUBLJANA - BEŽIGRAD,30/01/1992,0
_1895,LJUBLJANA - BEŽIGRAD,31/01/1992,-0.6
_1895,LJUBLJANA - BEŽIGRAD,01/02/1992,-0.1
_1895,LJUBLJANA - BEŽIGRAD,02/02/1992,-0.4
_1895,LJUBLJANA - BEŽIGRAD,03/02/1992,1.2
_1895,LJUBLJANA - BEŽIGRAD,04/02/1992,1.9
_1895,LJUBLJANA - BEŽIGRAD,05/02/1992,3.4
_1895,LJUBLJANA - BEŽIGRAD,06/02/1992,3.7
_1895,LJUBLJANA - BEŽIGRAD,07/02/1992,3.7
_1895,LJUBLJANA - BEŽIGRAD,08/02/1992,2
_1895,LJUBLJANA - BEŽIGRAD,09/02/1992,2.9
_1895,LJUBLJANA - BEŽIGRAD,10/02/1992,3.5
_1895,LJUBLJANA - BEŽIGRAD,11/02/1992,4.6
_1895,LJUBLJANA - BEŽIGRAD,12/02/1992,6.7
_1895,LJUBLJANA - BEŽIGRAD,13/02/1992,6.4
_1895,LJUBLJANA - BEŽIGRAD,14/02/1992,7.3
_1895,LJUBLJANA - BEŽIGRAD,15/02/1992,6.2
_1895,LJUBLJANA - BEŽIGRAD,16/02/1992,6.1
_1895,LJUBLJANA - BEŽIGRAD,17/02/1992,2.5
_1895,LJUBLJANA - BEŽIGRAD,18/02/1992,-0.5
_1895,LJUBLJANA - BEŽIGRAD,19/02/1992,-2.2
_1895,LJUBLJANA - BEŽIGRAD,20/02/1992,-1.8
_1895,LJUBLJANA - BEŽIGRAD,21/02/1992,2.1
_1895,LJUBLJANA - BEŽIGRAD,22/02/1992,2.6
_1895,LJUBLJANA - BEŽIGRAD,23/02/1992,3.5
_1895,LJUBLJANA - BEŽIGRAD,24/02/1992,4.8
_1895,LJUBLJANA - BEŽIGRAD,25/02/1992,4.9
_1895,LJUBLJANA - BEŽIGRAD,26/02/1992,6.2
_1895,LJUBLJANA - BEŽIGRAD,27/02/1992,6.6
_1895,LJUBLJANA - BEŽIGRAD,28/02/1992,5.5
_1895,LJUBLJANA - BEŽIGRAD,29/02/1992,6.2
_1895,LJUBLJANA - BEŽIGRAD,01/03/1992,7.7
_1895,LJUBLJANA - BEŽIGRAD,02/03/1992,7.7
_1895,LJUBLJANA - BEŽIGRAD,03/03/1992,8.3
_1895,LJUBLJANA - BEŽIGRAD,04/03/1992,9.2
_1895,LJUBLJANA - BEŽIGRAD,05/03/1992,8
_1895,LJUBLJANA - BEŽIGRAD,06/03/1992,10.2
_1895,LJUBLJANA - BEŽIGRAD,07/03/1992,8.2
_1895,LJUBLJANA - BEŽIGRAD,08/03/1992,4.6
_1895,LJUBLJANA - BEŽIGRAD,09/03/1992,4.3
_1895,LJUBLJANA - BEŽIGRAD,10/03/1992,4.2
_1895,LJUBLJANA - BEŽIGRAD,11/03/1992,5.3
_1895,LJUBLJANA - BEŽIGRAD,12/03/1992,6.8
_1895,LJUBLJANA - BEŽIGRAD,13/03/1992,8.4
_1895,LJUBLJANA - BEŽIGRAD,14/03/1992,7.2
_1895,LJUBLJANA - BEŽIGRAD,15/03/1992,5.4
_1895,LJUBLJANA - BEŽIGRAD,16/03/1992,5.2
_1895,LJUBLJANA - BEŽIGRAD,17/03/1992,4.9
_1895,LJUBLJANA - BEŽIGRAD,18/03/1992,4.8
_1895,LJUBLJANA - BEŽIGRAD,19/03/1992,6.3
_1895,LJUBLJANA - BEŽIGRAD,20/03/1992,7.8
_1895,LJUBLJANA - BEŽIGRAD,21/03/1992,12
_1895,LJUBLJANA - BEŽIGRAD,22/03/1992,5.1
_1895,LJUBLJANA - BEŽIGRAD,23/03/1992,6.3
_1895,LJUBLJANA - BEŽIGRAD,24/03/1992,8.4
_1895,LJUBLJANA - BEŽIGRAD,25/03/1992,7.4
_1895,LJUBLJANA - BEŽIGRAD,26/03/1992,0.9
_1895,LJUBLJANA - BEŽIGRAD,27/03/1992,3.7
_1895,LJUBLJANA - BEŽIGRAD,28/03/1992,2
_1895,LJUBLJANA - BEŽIGRAD,29/03/1992,4.4
_1895,LJUBLJANA - BEŽIGRAD,30/03/1992,3.9
_1895,LJUBLJANA - BEŽIGRAD,31/03/1992,6.5
_1895,LJUBLJANA - BEŽIGRAD,01/04/1992,7.9
_1895,LJUBLJANA - BEŽIGRAD,02/04/1992,7.2
_1895,LJUBLJANA - BEŽIGRAD,03/04/1992,10.1
_1895,LJUBLJANA - BEŽIGRAD,04/04/1992,12.7
_1895,LJUBLJANA - BEŽIGRAD,05/04/1992,9.4
_1895,LJUBLJANA - BEŽIGRAD,06/04/1992,6.5
_1895,LJUBLJANA - BEŽIGRAD,07/04/1992,8.1
_1895,LJUBLJANA - BEŽIGRAD,08/04/1992,9.1
_1895,LJUBLJANA - BEŽIGRAD,09/04/1992,9.3
_1895,LJUBLJANA - BEŽIGRAD,10/04/1992,9
_1895,LJUBLJANA - BEŽIGRAD,11/04/1992,9.8
_1895,LJUBLJANA - BEŽIGRAD,12/04/1992,10.4
_1895,LJUBLJANA - BEŽIGRAD,13/04/1992,12.3
_1895,LJUBLJANA - BEŽIGRAD,14/04/1992,10.6
_1895,LJUBLJANA - BEŽIGRAD,15/04/1992,11.2
_1895,LJUBLJANA - BEŽIGRAD,16/04/1992,6.9
_1895,LJUBLJANA - BEŽIGRAD,17/04/1992,5.9
_1895,LJUBLJANA - BEŽIGRAD,18/04/1992,8.2
